ecosystemID;ecosystem;sourceUUTProject;testCaseSourceFilePath;testcaseFullMethodName;testCaseMethodName;sourceUUTFilePath;sourceUUTFullMethodName;sourceUUTMethodName;sourceUUTStart;sourceUUTEnd;sourceCloneStart;sourceCloneEnd;targetUUTProject;targetUUTFilePath;targetMethodFullName;targetMethodName;targetMethodStart;targetMethodEnd;targetCloneStart;targetCloneEnd;intersetStart;intersectEnd;fingerprint;editscript;sourceTokens;sourceMatched;sourceUnmatched;sourceMatchedPercent;sourceUnMatchedPercent;targetTokens;targetMatched;targetUnmatched;targetMatchedPercent;targetUnMatchedPercent;sourceMappingsFile;sourceUnmappedPairsFile;targetUnmappedPairsFile;PairID;Problem;Sucess;Tries
305;AdamBien/lightfish;ds2/lightfish;C:\groupedJava\7_lightfish\ds2\lightfish\lightfish\src\test\java\org\lightfish\business\monitoring\control\SessionTokenRetrieverTest.java;org.lightfish.business.monitoring.control.SessionTokenRetrieverTest.retrieve_token;retrieve_token;C:\groupedJava\7_lightfish\ds2\lightfish\lightfish\src\main\java\org\lightfish\business\monitoring\control\SessionTokenRetriever.java;org.lightfish.business.monitoring.control.SessionTokenRetriever.retrieveSessionToken;retrieveSessionToken;48;67;57;59;AdamBien/lightfish;C:\groupedJava\7_lightfish\AdamBien\lightfish\multilight\lightfish\src\main\java\org\lightfish\business\servermonitoring\control\SessionTokenRetriever.java;org.lightfish.business.servermonitoring.control.SessionTokenRetriever.retrieveSessionToken;retrieveSessionToken;43;58;52;54;52;54;1ea6e653d440537191b5902f0ac92a3d;38;114;78;36;68.42;31.58;91;78;13;85.71;14.29;C:\testpropagation\clones\clonematching\uutpairmappings\305_AdamBien_lightfish\ds2_lightfish\ds2_lightfish_SessionTokenRetriever_retrieveSessionToken_48_67-AdamBien_lightfish_SessionTokenRetriever_retrieveSessionToken_43_58_all.txt;C:\testpropagation\clones\clonematching\uutpairmappings\305_AdamBien_lightfish\ds2_lightfish\ds2_lightfish_SessionTokenRetriever_retrieveSessionToken_48_67-AdamBien_lightfish_SessionTokenRetriever_retrieveSessionToken_43_58_unmapped.txt;C:\testpropagation\clones\clonematching\uutpairmappings\305_AdamBien_lightfish\ds2_lightfish\AdamBien_lightfish_SessionTokenRetriever_retrieveSessionToken_43_58-ds2_lightfish_SessionTokenRetriever_retrieveSessionToken_48_67_mapped.txt;575;;;
14;arquillian/arquillian-container-tomcat;arquillian/arquillian-container-tomcat;C:\groupedJava\120_arquillian-container-tomcat\arquillian\arquillian-container-tomcat\tomcat-ee8\src\test\java\org\jboss\arquillian\container\tomcat\CommonTomcatConfigurationTest.java;org.jboss.arquillian.container.tomcat.CommonTomcatConfigurationTest.testCreateJmxUriForSetBindAddressAndJmxServerPort;testCreateJmxUriForSetBindAddressAndJmxServerPort;C:\groupedJava\120_arquillian-container-tomcat\arquillian\arquillian-container-tomcat\tomcat-common\src\main\java\org\jboss\arquillian\container\tomcat\TomcatConfiguration.java;org.jboss.arquillian.container.tomcat.TomcatConfiguration.setBindAddress;setBindAddress;85;90;80;133;ianbrandt/arquillian-container-tomcat;C:\groupedJava\120_arquillian-container-tomcat\ianbrandt\arquillian-container-tomcat\tomcat-common\src\main\java\org\jboss\arquillian\container\tomcat\CommonTomcatConfiguration.java;org.jboss.arquillian.container.tomcat.CommonTomcatConfiguration.setBindAddress;setBindAddress;90;95;85;137;90;95;dc8306871630ee481f7ce4c394589f1c;119;17;16;1;94.12;Mai 88;16;16;0;100.00;0.00;C:\testpropagation\clones\clonematching\uutpairmappings\14_arquillian_arquillian-container-tomcat\arquillian_arquillian-container-tomcat\arquillian_arquillian-container-tomcat_TomcatConfiguration_setBindAddress_85_90-ianbrandt_arquillian-container-tomcat_CommonTomcatConfiguration_setBindAddress_90_95_all.txt;C:\testpropagation\clones\clonematching\uutpairmappings\14_arquillian_arquillian-container-tomcat\arquillian_arquillian-container-tomcat\arquillian_arquillian-container-tomcat_TomcatConfiguration_setBindAddress_85_90-ianbrandt_arquillian-container-tomcat_CommonTomcatConfiguration_setBindAddress_90_95_unmapped.txt;C:\testpropagation\clones\clonematching\uutpairmappings\14_arquillian_arquillian-container-tomcat\arquillian_arquillian-container-tomcat\ianbrandt_arquillian-container-tomcat_CommonTomcatConfiguration_setBindAddress_90_95-arquillian_arquillian-container-tomcat_TomcatConfiguration_setBindAddress_85_90_mapped.txt;169;tomcat-ee8 dir doesn't exist anymore;;
256;crawljax/crawljax;daisy1754/crawljax;C:\groupedJava\213_crawljax\daisy1754\crawljax\core\src\test\java\com\crawljax\util\DOMComparerTest.java;com.crawljax.util.DOMComparerTest.comparePartialDifference;comparePartialDifference;C:\groupedJava\213_crawljax\daisy1754\crawljax\core\src\main\java\com\crawljax\util\DomUtils.java;com.crawljax.util.DomUtils.asDocument;asDocument;74;86;77;79;stefanlenselink/crawljax;C:\groupedJava\213_crawljax\stefanlenselink\crawljax\core\src\main\java\com\crawljax\util\Helper.java;com.crawljax.util.Helper.getDocument;getDocument;166;174;168;170;168;170;31d911e9a22e06ae1a56877bee5abf4a;451;71;54;17;76.06;23.94;55;54;1;98.18;Jan 82;C:\testpropagation\clones\clonematching\uutpairmappings\256_crawljax_crawljax\daisy1754_crawljax\daisy1754_crawljax_DomUtils_asDocument_74_86-stefanlenselink_crawljax_Helper_getDocument_166_174_all.txt;C:\testpropagation\clones\clonematching\uutpairmappings\256_crawljax_crawljax\daisy1754_crawljax\daisy1754_crawljax_DomUtils_asDocument_74_86-stefanlenselink_crawljax_Helper_getDocument_166_174_unmapped.txt;C:\testpropagation\clones\clonematching\uutpairmappings\256_crawljax_crawljax\daisy1754_crawljax\stefanlenselink_crawljax_Helper_getDocument_166_174-daisy1754_crawljax_DomUtils_asDocument_74_86_mapped.txt;95;;;
256;crawljax/crawljax;stefanlenselink/crawljax;C:\groupedJava\213_crawljax\stefanlenselink\crawljax\core\src\test\java\com\crawljax\util\HelperTest.java;com.crawljax.util.HelperTest.testGetDocumentFromBrowser;testGetDocumentFromBrowser;C:\groupedJava\213_crawljax\stefanlenselink\crawljax\core\src\main\java\com\crawljax\util\Helper.java;com.crawljax.util.Helper.getDocument;getDocument;166;174;171;196;daisy1754/crawljax;C:\groupedJava\213_crawljax\daisy1754\crawljax\core\src\main\java\com\crawljax\util\DomUtils.java;com.crawljax.util.DomUtils.asDocument;asDocument;74;86;83;108;83;86;bac8d3a4a6db5e18ca0ae40ad54abd3f;451;55;54;1;98.18;Jan 82;71;54;17;76.06;23.94;C:\testpropagation\clones\clonematching\uutpairmappings\256_crawljax_crawljax\stefanlenselink_crawljax\stefanlenselink_crawljax_Helper_getDocument_166_174-daisy1754_crawljax_DomUtils_asDocument_74_86_all.txt;C:\testpropagation\clones\clonematching\uutpairmappings\256_crawljax_crawljax\stefanlenselink_crawljax\stefanlenselink_crawljax_Helper_getDocument_166_174-daisy1754_crawljax_DomUtils_asDocument_74_86_unmapped.txt;C:\testpropagation\clones\clonematching\uutpairmappings\256_crawljax_crawljax\stefanlenselink_crawljax\daisy1754_crawljax_DomUtils_asDocument_74_86-stefanlenselink_crawljax_Helper_getDocument_166_174_mapped.txt;93;Updated method signatures, Commented out methods not available in DomUtils, Fixed the goToUrl() method call, Replaced Helper class references with DomUtils;1;1
256;crawljax/crawljax;jaehwan-jung/crawljax;C:\groupedJava\213_crawljax\jaehwan-jung\crawljax\core\src\test\java\com\crawljax\util\DomUtilsTest.java;com.crawljax.util.DomUtilsTest.testGetElementByXpath;testGetElementByXpath;C:\groupedJava\213_crawljax\jaehwan-jung\crawljax\core\src\main\java\com\crawljax\util\DomUtils.java;com.crawljax.util.DomUtils.asDocument;asDocument;74;86;77;79;stefanlenselink/crawljax;C:\groupedJava\213_crawljax\stefanlenselink\crawljax\core\src\main\java\com\crawljax\util\Helper.java;com.crawljax.util.Helper.getDocument;getDocument;166;174;168;170;168;170;31d911e9a22e06ae1a56877bee5abf4a;450;71;54;17;76.06;23.94;55;54;1;98.18;Jan 82;C:\testpropagation\clones\clonematching\uutpairmappings\256_crawljax_crawljax\jaehwan-jung_crawljax\jaehwan-jung_crawljax_DomUtils_asDocument_74_86-stefanlenselink_crawljax_Helper_getDocument_166_174_all.txt;C:\testpropagation\clones\clonematching\uutpairmappings\256_crawljax_crawljax\jaehwan-jung_crawljax\jaehwan-jung_crawljax_DomUtils_asDocument_74_86-stefanlenselink_crawljax_Helper_getDocument_166_174_unmapped.txt;C:\testpropagation\clones\clonematching\uutpairmappings\256_crawljax_crawljax\jaehwan-jung_crawljax\stefanlenselink_crawljax_Helper_getDocument_166_174-jaehwan-jung_crawljax_DomUtils_asDocument_74_86_mapped.txt;91;;;
262;Esri/geometry-api-java;davidraleigh/geometry-api-java;C:\groupedJava\272_geometry-api-java\davidraleigh\geometry-api-java\src\test\java\com\esri\core\geometry\TestWKBSupport.java;com.esri.core.geometry.TestWKBSupport.testWKB3;testWKB3;C:\groupedJava\272_geometry-api-java\davidraleigh\geometry-api-java\src\main\java\com\esri\core\geometry\ogc\OGCGeometry.java;com.esri.core.geometry.ogc.OGCGeometry.Equals;Equals;254;271;265;268;satol/geometry-api-java;C:\groupedJava\272_geometry-api-java\satol\geometry-api-java\src\main\java\com\esri\core\geometry\ogc\OGCGeometry.java;com.esri.core.geometry.ogc.OGCGeometry.equals;equals;217;224;218;221;218;221;7e4cf6af82b2fcda628b474f3bb5e818;127;68;35;33;51.47;48.53;35;35;0;100.00;0.00;C:\testpropagation\clones\clonematching\uutpairmappings\262_Esri_geometry-api-java\davidraleigh_geometry-api-java\davidraleigh_geometry-api-java_OGCGeometry_Equals_254_271-satol_geometry-api-java_OGCGeometry_equals_217_224_all.txt;C:\testpropagation\clones\clonematching\uutpairmappings\262_Esri_geometry-api-java\davidraleigh_geometry-api-java\davidraleigh_geometry-api-java_OGCGeometry_Equals_254_271-satol_geometry-api-java_OGCGeometry_equals_217_224_unmapped.txt;C:\testpropagation\clones\clonematching\uutpairmappings\262_Esri_geometry-api-java\davidraleigh_geometry-api-java\satol_geometry-api-java_OGCGeometry_equals_217_224-davidraleigh_geometry-api-java_OGCGeometry_Equals_254_271_mapped.txt;276;;;
9;dirkriehle/wahlzeit;PVahldiek/wahlzeit;C:\groupedJava\234_wahlzeit\PVahldiek\wahlzeit\src\test\java\org\wahlzeit\model\coordinates\SphericCoordinateTest.java;org.wahlzeit.model.coordinates.SphericCoordinateTest.testTestEquals;testTestEquals;C:\groupedJava\234_wahlzeit\PVahldiek\wahlzeit\src\main\java\org\wahlzeit\model\coordinates\AbstractCoordinate.java;org.wahlzeit.model.coordinates.AbstractCoordinate.equals;equals;109;117;109;112;corinna-hederer/wahlzeit;C:\groupedJava\234_wahlzeit\corinna-hederer\wahlzeit\src\main\java\org\wahlzeit\model\Building.java;org.wahlzeit.model.Building.equals;equals;75;83;75;78;75;78;a7230e0f8e49f644921908bcdb75918a;307;49;49;0;100.00;0.00;49;49;0;100.00;0.00;C:\testpropagation\clones\clonematching\uutpairmappings\9_dirkriehle_wahlzeit\PVahldiek_wahlzeit\PVahldiek_wahlzeit_AbstractCoordinate_equals_109_117-corinna-hederer_wahlzeit_Building_equals_75_83_all.txt;C:\testpropagation\clones\clonematching\uutpairmappings\9_dirkriehle_wahlzeit\PVahldiek_wahlzeit\PVahldiek_wahlzeit_AbstractCoordinate_equals_109_117-corinna-hederer_wahlzeit_Building_equals_75_83_unmapped.txt;C:\testpropagation\clones\clonematching\uutpairmappings\9_dirkriehle_wahlzeit\PVahldiek_wahlzeit\corinna-hederer_wahlzeit_Building_equals_75_83-PVahldiek_wahlzeit_AbstractCoordinate_equals_109_117_mapped.txt;39;gradle not supported;;
254;galenframework/galen;galenframework/galen;C:\groupedJava\312_galen\galenframework\galen\galen-core\src\test\java\com\galenframework\tests\speclang2\SpecsReaderV2Test.java;com.galenframework.tests.speclang2.SpecsReaderV2Test.should_read_spec_ocr_lowercase;should_read_spec_ocr_lowercase;C:\groupedJava\312_galen\galenframework\galen\galen-core\src\main\java\com\galenframework\specs\SpecOcr.java;com.galenframework.specs.SpecOcr.getOperations;getOperations;26;30;24;67;tommywo/galen;C:\groupedJava\312_galen\tommywo\galen\galen-core\src\main\java\com\galenframework\specs\SpecText.java;com.galenframework.specs.SpecText.getOperations;getOperations;26;30;24;67;26;30;8dc373a4fd0d25f01daa13749d0272eb;5;11;11;0;100.00;0.00;11;11;0;100.00;0.00;C:\testpropagation\clones\clonematching\uutpairmappings\254_galenframework_galen\galenframework_galen\galenframework_galen_SpecOcr_getOperations_26_30-tommywo_galen_SpecText_getOperations_26_30_all.txt;C:\testpropagation\clones\clonematching\uutpairmappings\254_galenframework_galen\galenframework_galen\galenframework_galen_SpecOcr_getOperations_26_30-tommywo_galen_SpecText_getOperations_26_30_unmapped.txt;C:\testpropagation\clones\clonematching\uutpairmappings\254_galenframework_galen\galenframework_galen\tommywo_galen_SpecText_getOperations_26_30-galenframework_galen_SpecOcr_getOperations_26_30_mapped.txt;152;;;
192;klout/brickhouse;klout/brickhouse;C:\groupedJava\563_brickhouse\klout\brickhouse\src\test\java\brickhouse\udf\collect\CollectDistinctUDFTest.java;brickhouse.udf.collect.CollectDistinctUDFTest.testInitializeWithOneArguments;testInitializeWithOneArguments;C:\groupedJava\563_brickhouse\klout\brickhouse\src\main\java\brickhouse\udf\collect\CollectDistinctUDAF.java;brickhouse.udf.collect.CollectDistinctUDAF.getEvaluator;getEvaluator;48;60;48;50;jeromebanks/brickhouse;C:\groupedJava\563_brickhouse\jeromebanks\brickhouse\src\main\java\brickhouse\udf\collect\CollectUDAF.java;brickhouse.udf.collect.CollectUDAF.getEvaluator;getEvaluator;52;67;52;54;52;54;25bd0e25aa22d365f8a9f13be00405c6;244;33;33;0;100.00;0.00;50;33;17;66.00;34.00;C:\testpropagation\clones\clonematching\uutpairmappings\192_klout_brickhouse\klout_brickhouse\klout_brickhouse_CollectDistinctUDAF_getEvaluator_48_60-jeromebanks_brickhouse_CollectUDAF_getEvaluator_52_67_all.txt;C:\testpropagation\clones\clonematching\uutpairmappings\192_klout_brickhouse\klout_brickhouse\klout_brickhouse_CollectDistinctUDAF_getEvaluator_48_60-jeromebanks_brickhouse_CollectUDAF_getEvaluator_52_67_unmapped.txt;C:\testpropagation\clones\clonematching\uutpairmappings\192_klout_brickhouse\klout_brickhouse\jeromebanks_brickhouse_CollectUDAF_getEvaluator_52_67-klout_brickhouse_CollectDistinctUDAF_getEvaluator_48_60_mapped.txt;483;Couldn't fetch source test case;;
61;lessthanoptimal/BoofCV;lessthanoptimal/BoofCV;C:\groupedJava\579_BoofCV\lessthanoptimal\BoofCV\main\boofcv-geo\src\test\java\boofcv\struct\calib\TestCameraPinhole.java;boofcv.struct.calib.TestCameraPinhole.fsetK;fsetK;C:\groupedJava\579_BoofCV\lessthanoptimal\BoofCV\main\boofcv-geo\src\main\java\boofcv\struct\calib\CameraPinhole.java;boofcv.struct.calib.CameraPinhole.fsetK;fsetK;93;108;94;96;Pandinosaurus/BoofCV;C:\groupedJava\579_BoofCV\Pandinosaurus\BoofCV\main\boofcv-geo\src\main\java\boofcv\struct\calib\CameraPinholeBrown.java;boofcv.struct.calib.CameraPinholeBrown.fsetK;fsetK;69;76;70;72;70;72;e93e1dc1fffb982b65a0dcb105df66ba;587;78;22;56;28.21;71.79;40;35;5;87.50;Dez 50;C:\testpropagation\clones\clonematching\uutpairmappings\61_lessthanoptimal_BoofCV\lessthanoptimal_BoofCV\lessthanoptimal_BoofCV_CameraPinhole_fsetK_93_108-Pandinosaurus_BoofCV_CameraPinholeBrown_fsetK_69_76_all.txt;C:\testpropagation\clones\clonematching\uutpairmappings\61_lessthanoptimal_BoofCV\lessthanoptimal_BoofCV\lessthanoptimal_BoofCV_CameraPinhole_fsetK_93_108-Pandinosaurus_BoofCV_CameraPinholeBrown_fsetK_69_76_unmapped.txt;C:\testpropagation\clones\clonematching\uutpairmappings\61_lessthanoptimal_BoofCV\lessthanoptimal_BoofCV\Pandinosaurus_BoofCV_CameraPinholeBrown_fsetK_69_76-lessthanoptimal_BoofCV_CameraPinhole_fsetK_93_108_mapped.txt;261;gradle not supported;;
