source_project,source_test_path,target_project,target_uut_path,appearances,successes,success_rate,mean_attempts,mean_success_attempt,mean_time_s,median_time_s,class_mode
daisy1754/crawljax,core/src/test/java/com/crawljax/util/DOMComparerTest.java,stefanlenselink/crawljax,src/main/java/com/crawljax/util/Helper.java,10,10,1.0,2.0,2.0,18.083750891685487,17.166983127593994,Type-2
ds2/lightfish,lightfish/src/test/java/org/lightfish/business/monitoring/control/SessionTokenRetrieverTest.java,AdamBien/lightfish,src/main/java/org/lightfish/business/servermonitoring/control/SessionTokenRetriever.java,10,10,1.0,2.8,2.8,73.28736836910248,69.01431047916412,Type-3
jaehwan-jung/crawljax,core/src/test/java/com/crawljax/util/DomUtilsTest.java,stefanlenselink/crawljax,src/main/java/com/crawljax/util/Helper.java,10,10,1.0,2.8,2.8,58.76787402629852,65.65733456611633,Type-3
wolfdancer/blueflood,blueflood-core/src/test/java/com/rackspacecloud/blueflood/types/BluefloodCounterRollupTest.java,dlobue/blueflood,src/main/java/com/rackspacecloud/blueflood/types/CounterRollup.java,10,10,1.0,2.4,2.4,73.8362046957016,63.939125537872314,Type-2
davidraleigh/geometry-api-java,src/test/java/com/esri/core/geometry/TestWKBSupport.java,satol/geometry-api-java,src/main/java/com/esri/core/geometry/ogc/OGCGeometry.java,10,9,0.9,3.0,3.0,112.95521671772003,107.73882055282593,Type-3
mcgray/htmlelements,htmlelements-java/src/test/java/ru/yandex/qatools/htmlelements/PageInitializationTest.java,lanwen/htmlelements,src/test/java/ru/yandex/qatools/htmlelements/PageInitializationTest.java,10,8,0.8,2.6,2.5,96.18114924430847,94.32496428489685,Type-3
stefanlenselink/crawljax,core/src/test/java/com/crawljax/util/HelperTest.java,daisy1754/crawljax,src/main/java/com/crawljax/util/DomUtils.java,10,5,0.5,3.0,3.0,114.193163895607,110.83944499492645,Type-3
tempredirect/Java-Chronicle,src/test/java/vanilla/java/chronicle/impl/ByteBufferExcerptTest.java,peter-lawrey/Java-Chronicle,src/main/java/com/higherfrequencytrading/chronicle/impl/AbstractExcerpt.java,10,0,0.0,3.0,,253.95755083560942,243.14242947101593,Type-3
galenframework/galen,galen-core/src/test/java/com/galenframework/tests/speclang2/SpecsReaderV2Test.java,tommywo/galen,src/main/java/com/galenframework/specs/SpecText.java,2,0,0.0,3.0,,585.366250872612,585.366250872612,Type-2
PVahldiek/wahlzeit,src/test/java/org/wahlzeit/model/coordinates/SphericCoordinateTest.java,corinna-hederer/wahlzeit,src/main/java/org/wahlzeit/model/Building.java,1,0,0.0,0.0,,2.7692019939422607,2.7692019939422607,Unknown
lessthanoptimal/BoofCV,main/boofcv-geo/src/test/java/boofcv/struct/calib/TestCameraPinhole.java,Pandinosaurus/BoofCV,src/main/java/boofcv/struct/calib/CameraPinholeBrown.java,1,0,0.0,0.0,,11.70025897026062,11.70025897026062,Unknown
