source_project,source_test_path,target_project,target_uut_path,pre_build_success,final_build_success,total_attempts,successful_attempt,clone_classification,initial_error_type,final_error_message,execution_time_seconds,timestamp,gemini_api_used,pom_fix_applied,build_failed_initially,llm_response_length,_file,pair_id
daisy1754/crawljax,core/src/test/java/com/crawljax/condition/BrowserDoesntLeaveUrlTest.java,stefanlenselink/crawljax,src/main/java/com/crawljax/crawltests/BaseCrawler.java,True,True,2,2.0,Type-2,,,15.019330978393555,2025-09-21T22:42:15.107644,True,False,True,1934,adaptation_metrics_2025-09-21T22:42:14.384233.json,daisy1754/crawljax→stefanlenselink/crawljax
JMPerez/spotify-web-api-java,src/test/java/com/wrapper/spotify/methods/PlaylistTracksRequestTest.java,danieldisu/spotify-web-api-java,src/main/java/com/wrapper/spotify/models/Track.java,True,True,2,2.0,Unknown,,,64.38895511627197,2025-09-21T22:42:30.795103,True,False,True,8717,adaptation_metrics_2025-09-21T22:42:14.384233.json,JMPerez/spotify-web-api-java→danieldisu/spotify-web-api-java
sfcoy/arquillian-container-tomcat,tomcat-managed-common/src/test/java/org/jboss/arquillian/container/tomcat/managed/TomcatManagedContainerTest.java,ianbrandt/arquillian-container-tomcat,src/main/java/org/jboss/arquillian/container/tomcat/managed_7/TomcatManagedContainer.java,True,True,2,2.0,Type-3,,,51.57087683677673,2025-09-21T22:43:35.946506,True,False,True,4697,adaptation_metrics_2025-09-21T22:42:14.384233.json,sfcoy/arquillian-container-tomcat→ianbrandt/arquillian-container-tomcat
apache/maven-surefire,surefire-api/src/test/java/org/apache/maven/surefire/api/testset/FundamentalFilterTest.java,agudian/maven-surefire,src/main/java/org/apache/maven/surefire/testset/ResolvedTest.java,True,True,2,2.0,Type-4,,,54.510770082473755,2025-09-21T22:44:28.579752,True,False,True,21934,adaptation_metrics_2025-09-21T22:42:14.384233.json,apache/maven-surefire→agudian/maven-surefire
yiyingcanfeng/shiro-redis,src/test/java/org/crazycake/shiro/RedisSessionDAOTest.java,leusonmario/shiro-redis,src/main/java/org/crazycake/shiro/ObjectSerializer.java,True,True,2,2.0,Unknown,,,59.78301811218262,2025-09-21T22:45:23.976952,True,False,True,8731,adaptation_metrics_2025-09-21T22:42:14.384233.json,yiyingcanfeng/shiro-redis→leusonmario/shiro-redis
daisy1754/crawljax,core/src/test/java/com/crawljax/condition/BrowserDoesntLeaveUrlTest.java,stefanlenselink/crawljax,src/main/java/com/crawljax/crawltests/BaseCrawler.java,True,True,2,2.0,Type-2,,,12.800238847732544,2025-09-21T22:47:25.057160,True,False,True,1762,adaptation_metrics_2025-09-21T22:47:24.441961.json,daisy1754/crawljax→stefanlenselink/crawljax
JMPerez/spotify-web-api-java,src/test/java/com/wrapper/spotify/methods/PlaylistTracksRequestTest.java,danieldisu/spotify-web-api-java,src/main/java/com/wrapper/spotify/models/Track.java,True,True,2,2.0,Type-2,,,46.68399739265442,2025-09-21T22:47:38.522154,True,False,True,8481,adaptation_metrics_2025-09-21T22:47:24.441961.json,JMPerez/spotify-web-api-java→danieldisu/spotify-web-api-java
sfcoy/arquillian-container-tomcat,tomcat-managed-common/src/test/java/org/jboss/arquillian/container/tomcat/managed/TomcatManagedContainerTest.java,ianbrandt/arquillian-container-tomcat,src/main/java/org/jboss/arquillian/container/tomcat/managed_7/TomcatManagedContainer.java,True,True,2,2.0,Type-3,,,38.71969270706177,2025-09-21T22:48:25.713746,True,False,True,5392,adaptation_metrics_2025-09-21T22:47:24.441961.json,sfcoy/arquillian-container-tomcat→ianbrandt/arquillian-container-tomcat
apache/maven-surefire,surefire-api/src/test/java/org/apache/maven/surefire/api/testset/FundamentalFilterTest.java,agudian/maven-surefire,src/main/java/org/apache/maven/surefire/testset/ResolvedTest.java,True,True,2,2.0,Type-4,,,104.82866787910461,2025-09-21T22:49:04.862451,True,False,True,22263,adaptation_metrics_2025-09-21T22:47:24.441961.json,apache/maven-surefire→agudian/maven-surefire
yiyingcanfeng/shiro-redis,src/test/java/org/crazycake/shiro/RedisSessionDAOTest.java,leusonmario/shiro-redis,src/main/java/org/crazycake/shiro/ObjectSerializer.java,True,False,3,,Type-2,,,213.286474943161,2025-09-21T22:50:50.527708,True,False,True,3456,adaptation_metrics_2025-09-21T22:47:24.441961.json,yiyingcanfeng/shiro-redis→leusonmario/shiro-redis
daisy1754/crawljax,core/src/test/java/com/crawljax/condition/BrowserDoesntLeaveUrlTest.java,stefanlenselink/crawljax,src/main/java/com/crawljax/crawltests/BaseCrawler.java,True,True,2,2.0,Type-2,,,17.155415058135986,2025-09-21T22:54:24.622142,True,False,True,1605,adaptation_metrics_2025-09-21T22:47:24.441961.json,daisy1754/crawljax→stefanlenselink/crawljax
JMPerez/spotify-web-api-java,src/test/java/com/wrapper/spotify/methods/PlaylistTracksRequestTest.java,danieldisu/spotify-web-api-java,src/main/java/com/wrapper/spotify/models/Track.java,True,True,2,2.0,Type-3,,,49.6257758140564,2025-09-21T22:54:42.436132,True,False,True,9162,adaptation_metrics_2025-09-21T22:47:24.441961.json,JMPerez/spotify-web-api-java→danieldisu/spotify-web-api-java
sfcoy/arquillian-container-tomcat,tomcat-managed-common/src/test/java/org/jboss/arquillian/container/tomcat/managed/TomcatManagedContainerTest.java,ianbrandt/arquillian-container-tomcat,src/main/java/org/jboss/arquillian/container/tomcat/managed_7/TomcatManagedContainer.java,True,True,2,2.0,Type-4,,,48.36731791496277,2025-09-21T22:55:32.742319,True,False,True,6243,adaptation_metrics_2025-09-21T22:47:24.441961.json,sfcoy/arquillian-container-tomcat→ianbrandt/arquillian-container-tomcat
apache/maven-surefire,surefire-api/src/test/java/org/apache/maven/surefire/api/testset/FundamentalFilterTest.java,agudian/maven-surefire,src/main/java/org/apache/maven/surefire/testset/ResolvedTest.java,True,True,2,2.0,Type-4,,,52.79473280906677,2025-09-21T22:56:21.996907,True,False,True,22087,adaptation_metrics_2025-09-21T22:47:24.441961.json,apache/maven-surefire→agudian/maven-surefire
